epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,719.31,0.9025,0.64568,1.16324,0.84768,0.67884,0.7689,0.46519,1.48714,1.1968,1.81783,0.000264085,0.000264085,0.000264085
79,727.835,0.90786,0.64442,1.19151,0.82211,0.72763,0.76851,0.46507,1.49456,1.16149,1.85999,0.000253086,0.000253086,0.000253086
80,736.012,0.9263,0.62866,1.16649,0.84262,0.72123,0.78044,0.4604,1.53261,1.15635,1.88319,0.000242087,0.000242087,0.000242087
81,745.39,0.9052,0.64319,1.18127,0.80867,0.70382,0.78399,0.46822,1.50733,1.13398,1.83026,0.000231088,0.000231088,0.000231088
82,753.798,0.89573,0.63463,1.16844,0.83333,0.72223,0.79252,0.47857,1.48438,1.13996,1.82425,0.000220089,0.000220089,0.000220089
83,762.74,0.89573,0.63525,1.16568,0.82529,0.69451,0.78171,0.47798,1.47576,1.12458,1.84017,0.00020909,0.00020909,0.00020909
84,771.55,0.88576,0.60805,1.16364,0.87313,0.69284,0.77528,0.46855,1.49521,1.15964,1.84847,0.000198091,0.000198091,0.000198091
85,780.044,0.85363,0.59289,1.14393,0.85506,0.71287,0.78421,0.47818,1.49239,1.16436,1.81898,0.000187092,0.000187092,0.000187092
86,789.485,0.83622,0.6159,1.15834,0.87018,0.70555,0.79322,0.47479,1.47554,1.12665,1.7922,0.000176094,0.000176094,0.000176094
87,797.77,0.89116,0.62403,1.1725,0.85844,0.70996,0.79179,0.48481,1.46238,1.14034,1.78989,0.000165095,0.000165095,0.000165095
88,805.97,0.86076,0.59758,1.14325,0.88061,0.70696,0.79715,0.48891,1.45491,1.12146,1.78602,0.000154096,0.000154096,0.000154096
89,814.698,0.85355,0.60197,1.12769,0.85758,0.70945,0.78775,0.48682,1.46338,1.0937,1.8019,0.000143097,0.000143097,0.000143097
90,823.16,0.8727,0.60927,1.15337,0.87146,0.70759,0.78879,0.47826,1.49779,1.10103,1.85292,0.000132098,0.000132098,0.000132098
91,833.848,0.76541,0.53564,1.11547,0.86836,0.71261,0.77502,0.46569,1.50558,1.1236,1.87774,0.000121099,0.000121099,0.000121099
92,842.61,0.74193,0.51484,1.06991,0.84662,0.73035,0.77421,0.46095,1.53359,1.13544,1.91903,0.0001101,0.0001101,0.0001101
93,849.992,0.73274,0.51203,1.09724,0.8675,0.71931,0.77888,0.46474,1.50854,1.12778,1.88005,9.91012e-05,9.91012e-05,9.91012e-05
94,859.478,0.75091,0.50316,1.07648,0.86857,0.7039,0.77941,0.47205,1.48118,1.10508,1.86374,8.81023e-05,8.81023e-05,8.81023e-05
95,868.654,0.72075,0.48914,1.07461,0.84727,0.729,0.78498,0.47489,1.4733,1.09161,1.85196,7.71034e-05,7.71034e-05,7.71034e-05
96,876.299,0.727,0.48128,1.07525,0.84587,0.72491,0.78107,0.47068,1.4886,1.09686,1.87117,6.61045e-05,6.61045e-05,6.61045e-05
97,885.342,0.74451,0.48695,1.09021,0.84211,0.73145,0.78022,0.47722,1.48138,1.08592,1.8641,5.51056e-05,5.51056e-05,5.51056e-05
98,892.405,0.76122,0.48547,1.08921,0.88638,0.69786,0.78063,0.47693,1.46346,1.09737,1.83985,4.41067e-05,4.41067e-05,4.41067e-05
99,901.009,0.7575,0.48377,1.09568,0.87002,0.69736,0.78058,0.47615,1.45804,1.09645,1.82636,3.31078e-05,3.31078e-05,3.31078e-05
100,908.935,0.70343,0.46958,1.06545,0.82225,0.73484,0.78162,0.47571,1.46147,1.09307,1.8262,2.21089e-05,2.21089e-05,2.21089e-05
